...1,id,ph,ce,om_value,n,p,k,bd,clay,silt,sand,class,ring,text,park_id,name,greenspace_type,comuna,woody_ratio,grass_ratio,structure_cat,stgohot_decile_mean,condition,clase,woody_decile,temp_decile,priority_score,sampling_priority,lon,lat,join_distance_m,within_park
1,1,7.41,0.83,5.31,16,16,163,1.05,14,38,48,park,outer,Lo,239,PARQUE PORTALES DE NOS,Urban Park,NA,0.7125369228118817,0.2865321394304431,High Woody Cover,NA,NA,NA,5,NA,NA,P5 — Intermediate,-70.7091,-33.638648,198.13123182625023,TRUE
2,2,7.54,1.54,3.67,23,24,131,1.21,28,42,30,park,outer,ClLo,490,D1035 Ernesto Alvear  Av. Concha y Toro  Eyzaguirre,Roadside,PUENTE ALTO,0.7133365209572144,0.285816593968213,High Woody Cover,NA,Poor condition,PLAZA,6,NA,NA,P5 — Intermediate,-70.625603,-33.632019,3360.4782580362057,FALSE
3,3,7.57,0.9,4.88,30,64,365,1.11,20,40,40,park,outer,Lo,490,D1035 Ernesto Alvear  Av. Concha y Toro  Eyzaguirre,Roadside,PUENTE ALTO,0.7133365209572144,0.285816593968213,High Woody Cover,NA,Poor condition,PLAZA,6,NA,NA,P5 — Intermediate,-70.588886,-33.630981,2751.8074390888014,FALSE
4,4,7.43,0.11,5.14,18,18,261,1.1,12,35,53,park,outer,SaLo,544,Plaza Pedro Aguirre Cerda,Lawn Park,SAN BERNARDO,0.7316082249385171,0.2675267008934089,High Woody Cover,6,Good condition,PLAZA,8,2,5,P3 — Forest + Cool,-70.711468,-33.604681,46.13687102285282,TRUE
5,5,7.61,1.38,3.4,7,8,316,1.2,22,42,36,park,outer,Lo,543,Plaza La Divina Providencia,Lawn Park,NA,0.7070365395363819,0.29186529893349183,High Woody Cover,6,NA,NA,4,2,3,P5 — Intermediate,-70.670714,-33.6055,101.37571480007126,TRUE
6,6,7.97,0.49,3.4,31.5,19,187,1.24,18,34,48,park,outer,Lo,491,D1084 Blanco EncaladaEnrique Faverio,Roadside,NA,0.7129113098999712,0.28627569313551027,High Woody Cover,NA,NA,NA,5,NA,NA,P5 — Intermediate,-70.622984,-33.611961,1925.056802921392,FALSE
7,7,7.71,0.84,5.29,48,88,359,1.19,12,30,58,park,outer,SaLo,490,D1035 Ernesto Alvear  Av. Concha y Toro  Eyzaguirre,Roadside,PUENTE ALTO,0.7133365209572144,0.285816593968213,High Woody Cover,NA,Poor condition,PLAZA,6,NA,NA,P5 — Intermediate,-70.584068,-33.607461,1696.7597740497936,FALSE
8,8,7.91,0.65,2.83,36,19,157,1.25,16,38,46,park,outer,Lo,493,B3105 Sanchez Fontecilla  Av. Las Perdices (Sur  Poniente),Roadside,PUENTE ALTO,0.7028718231391468,0.2962156003720525,High Woody Cover,NA,Good condition,PLAZA,3,NA,NA,P5 — Intermediate,-70.550152,-33.612336,1566.4684510764696,FALSE
9,9,7.89,0.34,2.97,11,5,177,0.95,20,36,44,park,outer,Lo,279,PARQUE CENTRAL,Urban Park,MAIPU,0.6909761275519906,0.3081260909960735,High Woody Cover,NA,Good condition,BANDEJON,2,NA,NA,P5 — Intermediate,-70.788688,-33.562521,538.9913363589551,TRUE
10,10,7.94,0.43,3.19,9,6,223,0.91,24,54,22,park,outer,SiLo,280,PARQUE BARRIO NORTE,Urban Park,MAIPU,0.6865772163774412,0.312565505475309,High Woody Cover,NA,Good condition,PARQUE,1,NA,NA,P5 — Intermediate,-70.774499,-33.562897,431.3068557031845,TRUE
11,11,7.59,2.72,3.46,12,38,215,1.3,24,32,44,park,outer,Lo,52,PLAZA DE ARMAS SAN BERNARDO,Lawn Park,SAN BERNARDO,0.7218116877813247,0.2771859700928263,High Woody Cover,NA,Good condition,PLAZA,7,NA,NA,P5 — Intermediate,-70.70554,-33.573444,2092.7814768483126,FALSE
12,12,7.78,2.01,2.16,5,7,69,1.32,22,38,40,park,outer,Lo,330,PARQUE EL POETA,Urban Park,EL BOSQUE,0.7081477290600819,0.2908159947307756,High Woody Cover,7,Good condition,PLAZA,4,5,4.5,P5 — Intermediate,-70.669106,-33.571253,277.1641682439172,TRUE
13,13,7.9,0.67,3.64,31,10,90,1.15,16,46,38,roadside park,outer,Lo,496,Plaza San Nestor,Lawn Park,LA PINTANA,0.7205633204945735,0.27851307492725524,High Woody Cover,7,Poor condition,PLAZA,7,8,7.5,P5 — Intermediate,-70.624761,-33.564728,271.7291690344484,TRUE
14,14,7.59,0.2,2.82,20.5,12,86.5,1.27,18,36,46,roadside park,outer,Lo,494,A2037  Av. Eyzaguirre  Carlos A. Luco   Croacia,Roadside,PUENTE ALTO,0.7015971534192551,0.297316456571685,High Woody Cover,6,Good condition,BANDEJON,3,2,3,P5 — Intermediate,-70.579651,-33.57148,1397.8776164598764,FALSE
