condition,park_id,name,area_m2,greenspace_type,mean_woody,mean_grass,total_veg_idx,woody_ratio,grass_ratio,structure_cat,clase,comuna,temp_am_c,temp_af_c,temp_pm_c,area_ha,stgohot_decile_mean,woody_decile,temp_decile,length_decile,priority_score,sampling_priority
Good condition,534,PLAZA EN CALLE VIOLETA COUSIÑO,6249.383542,Lawn Park,0.1168922483921051,0.03138098493218422,0.14827323332428932,0.7878257133928034,0.21150031059575908,High Woody Cover,PLAZA,PENALOLEN,17.925090789794922,31.86470603942871,29.62928581237793,0.62,7,10,10,NA,10,P1 — Forest + Hot
Good condition,502,Plaza Don Ramón,5614.27544949,Lawn Park,0.07524602115154266,0.026022521778941154,0.10126854293048382,0.7423014968573103,0.25671200380957226,High Woody Cover,PLAZA,LO ESPEJO,20.022010803222656,31.39177703857422,28.60000228881836,0.56,7,9,9,NA,9,P1 — Forest + Hot
Good condition,529,Plaza Villa Macul,9212.70600818,Lawn Park,0.08117798715829849,0.029318485409021378,0.11049647256731987,0.734001594028106,0.26509421800207295,High Woody Cover,PLAZA,MACUL,18.759294509887695,32.32878875732422,29.741008758544922,0.92,7,8,10,NA,9,P1 — Forest + Hot
Good condition,533,PLAZA EN CALLE UNO NORTE,9583.10976547,Lawn Park,0.07764646410942078,0.027688859030604362,0.10533532314002514,0.7364369150393848,0.26261463621476944,High Woody Cover,PLAZA,PENALOLEN,17.55247688293457,31.462194442749023,29.581697463989258,0.96,7,8,10,NA,9,P1 — Forest + Hot
Good condition,535,Plaza en Calle Diego Dublé Almeyda,5783.46056409,Lawn Park,0.0727681815624237,0.027316324412822723,0.10008450597524643,0.7263416718389893,0.2726601698227871,High Woody Cover,PLAZA,MACUL,19.10034942626953,32.498931884765625,29.600221633911133,0.58,7,8,10,NA,9,P1 — Forest + Hot
Good condition,551,PLAZA EN CALLE JOSÉ MIGUEL CARRERA,4155.15356503,Lawn Park,0.08247000724077225,0.031272727996110916,0.11374273523688316,0.7244204653829621,0.27470112986163625,High Woody Cover,PLAZA,LA FLORIDA,18.817041397094727,31.516069412231445,29.105730056762695,0.42,7,7,10,NA,8.5,P5 — Intermediate
Good condition,452,Plaza Aucanquilcha poniente,8063.40723745,Lawn Park,0.09937267005443573,0.03493708744645119,0.13430975750088692,0.7393263100990269,0.2599296962961982,High Woody Cover,PLAZA,LAS CONDES,16.883331298828125,31.48493194580078,29.50279998779297,0.81,7,9,7,NA,8,P5 — Intermediate
Good condition,481,Plaza Pegaso,6132.25169216,Lawn Park,0.07186881452798843,0.025659509003162384,0.09752832353115082,0.7361471745958728,0.2628285324901135,High Woody Cover,PLAZA,LO ESPEJO,18.694259643554688,31.681907653808594,28.700000762939453,0.61,7,8,8,NA,8,P1 — Forest + Hot
Good condition,510,Plaza Lillo,6070.26459027,Lawn Park,0.0802336111664772,0.030316399410367012,0.11055001057684422,0.7251116447996773,0.27398460472186653,High Woody Cover,PLAZA,NUNOA,19.058855056762695,32.08848571777344,29.600000381469727,0.61,7,7,9,NA,8,P5 — Intermediate
Good condition,518,Plaza Batallón Chacabuco,6277.77639622,Lawn Park,0.079979807138443,0.03114033304154873,0.11112014017999172,0.7191126266250759,0.2799882556446446,High Woody Cover,PLAZA,LA PINTANA,18.600679397583008,31.200000762939453,28.50074005126953,0.63,7,7,9,NA,8,P5 — Intermediate
